No,Name,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90,year
933,Brede Hangeland,Crystal Palace,14,1175,2,2,1,0.99,0.99,0.55,0.92,0.87,0.08,0.08,0.04,0.12,0.12,0.07,0.07,2014
936,Ramires,Chelsea,23,1089,2,2,4,1.87,1.87,2.08,7.35,3.96,0.15,0.15,0.17,0.33,0.33,0.61,0.33,2014
939,Mauro Zarate,Queens Park Rangers,11,481,2,2,1,0.72,0.72,0.43,1.22,0.56,0.13,0.13,0.08,0.21,0.21,0.23,0.1,2014
956,Andrej Kramaric,Leicester,13,569,2,2,0,2.06,2.06,0.7,2.53,0.41,0.33,0.33,0.11,0.44,0.44,0.4,0.06,2014
990,James Morrison,West Bromwich Albion,33,2567,2,2,1,1.74,1.74,3.1,8.34,6.15,0.06,0.06,0.11,0.17,0.17,0.29,0.22,2014
1036,Jack Wilshere,Arsenal,14,739,2,2,1,2.42,2.42,1.43,7.23,4.52,0.29,0.29,0.17,0.47,0.47,0.88,0.55,2014
1654,Ben Mee,Burnley,33,2889,2,2,1,1.93,1.93,0.87,4.24,3.46,0.06,0.06,0.03,0.09,0.09,0.13,0.11,2014
1659,Scott Arfield,Burnley,37,3210,2,2,1,3.17,2.4,2.06,8.51,5.22,0.09,0.07,0.06,0.15,0.13,0.24,0.15,2014
1685,Ahmed Elmohamady,Hull,38,3420,2,2,5,1.91,1.91,4.92,9.79,4.93,0.05,0.05,0.13,0.18,0.18,0.26,0.13,2014
4367,Eljero Elia,Southampton,16,798,2,2,0,0.75,0.75,0.71,1.74,0.86,0.08,0.08,0.08,0.17,0.17,0.2,0.1,2014
4383,Carlton Cole,West Ham,23,894,2,2,0,1.73,1.73,0.66,2.54,1.45,0.17,0.17,0.07,0.24,0.24,0.26,0.15,2014
4397,Niko Kranjcar,Queens Park Rangers,22,1108,2,2,1,1.91,1.91,1.73,3.01,1.03,0.16,0.16,0.14,0.3,0.3,0.24,0.08,2014
4400,Tomas Rosicky,Arsenal,15,562,2,2,1,0.97,0.97,1.54,4.89,3.27,0.16,0.16,0.25,0.4,0.4,0.78,0.52,2014
4406,Lazar Markovic,Liverpool,19,932,2,2,1,1.88,1.88,1.46,5.3,2.21,0.18,0.18,0.14,0.32,0.32,0.51,0.21,2014
